Date,pr,prpercnt,hurs,spei12,tas,tasmin,tasmax,cdd,cwd,Year,Month,sd,rolling_pr_3y,rolling_pr_2y,rolling_pr_1y,tas_range
2070-02-16,214.7317,120.80242,82.47983,1.4087057,26.809046,24.509224,29.108862,2.081326358826354,22.905079365079363,2070,2,28.0,8560.04408,5974.79858,3112.61639,4.599637999999999
2070-03-16,177.56236,94.13946,81.43456,1.2223998,27.623268,24.974157,30.272377,5.202516835016829,20.4073136123136,2070,3,30.99861111111111,8581.0249,5983.25471,3091.0414699999997,5.298219999999997
2070-04-16,207.46953,104.11532,82.036095,1.285769,28.633577,25.941484,31.325668,1.9891366041365968,24.988476430976423,2070,4,30.0,8577.778929999999,5986.84382,3146.2403099999997,5.384184000000001
2070-05-16,244.58679,114.3682,82.14533,1.203766,28.815802,26.111105,31.520498,1.0799025974025926,29.543012265512257,2070,5,31.0,8635.70232,5990.542109999999,3126.5502,5.4093930000000015
2070-06-16,151.61598,84.16268,79.796906,1.0951899,28.496374,25.646654,31.346094,6.414929052429039,20.319515392015383,2070,6,30.0,8627.936699999998,5970.28683,3080.85972,5.699439999999999
2070-07-16,174.354,97.08091,81.20872,1.0104089,28.292185,25.569529,31.014841,2.4087000962000924,21.027774170274167,2070,7,31.0,8643.18454,5961.218510000001,3038.20603,5.445312000000001
2070-08-16,251.87587,125.027214,81.92182,0.9075429,27.742407,25.126059,30.358759,2.130913900913889,23.985430495430485,2070,8,31.0,8680.42322,5978.82044,2998.6965199999995,5.232699999999998
2070-09-16,281.51852,125.17565,82.90868,0.9308789,27.844261,25.260315,30.428207,0.2086111111111111,29.191746031746028,2070,9,30.0,8724.09146,6013.97135,3001.74664,5.167892000000002
2070-10-16,277.09964,96.66855,82.79499,0.77123696,27.468018,24.85496,30.081078,0.5512830687830671,30.83190476190476,2070,10,30.99861111111111,8770.007380000001,5933.94829,2947.7421200000003,5.226118000000003
2070-11-16,271.5415,87.20057,82.55752,0.6173518,27.516441,24.97033,30.062555,0.7186904761904745,28.40901515151516,2070,11,30.0,8705.93111,5964.695460000001,2894.37332,5.092224999999999
2070-12-16,303.14404,96.88013,83.316055,0.49907577,27.12855,24.781258,29.475836,0.7650793650793635,29.9838492063492,2070,12,31.0,8711.541430000001,5898.710099999999,2852.7694,4.694578
2071-01-16,214.76012,80.784485,82.70072,0.15696786,27.271698,24.86529,29.678106,3.436723184223171,19.35085738335737,2071,1,30.991666666666667,8653.49315,5848.49659,2770.26005,4.812815999999998
2071-02-16,139.07469,73.03588,81.04453,-0.14856678,28.270239,25.681051,30.859423,3.994525012025,16.102287157287154,2071,2,28.0,8669.40162,5807.21943,2694.60304,5.1783719999999995
2071-03-16,171.02364,85.48043,80.27747,-0.16191071,28.600527,25.899782,31.301271,3.3397594997594906,19.94582611832611,2071,3,31.0,8671.31903,5779.1057900000005,2688.06432,5.4014890000000015
2071-04-16,146.57472,70.896545,80.49877,-0.31943545,28.944153,26.186586,31.701715,3.3228138528138427,19.875673400673392,2071,4,30.0,8614.013330000002,5773.40982,2627.16951,5.515129000000002
2071-05-16,212.49219,96.74152,82.04627,-0.40025452,29.224632,26.56138,31.887884,2.178145743145729,27.083492063492063,2071,5,31.0,8585.61702,5721.62511,2595.07491,5.326504
2071-06-16,150.42192,87.4371,80.81115,-0.3976916,29.1798,26.426323,31.93328,5.7105615680615625,27.401334776334767,2071,6,30.0,8564.16768,5674.74057,2593.88085,5.506957
2071-07-16,234.14494,129.15965,81.5869,-0.226377,28.534208,25.873392,31.195023,1.8647138047137963,25.09310365560364,2071,7,31.0,8614.890300000001,5691.87782,2653.6717900000003,5.321631
2071-08-16,279.01498,134.2327,82.013855,-0.16769753,28.350248,25.702429,30.998064,1.2471416546416434,28.59748917748917,2071,8,31.0,8659.63134,5679.50742,2680.8109000000004,5.295635000000001
2071-09-16,233.13188,103.39059,81.52462,-0.40049157,28.530783,25.765915,31.295654,1.6230603655603588,25.90294733044733,2071,9,30.0,8646.39561,5634.1709,2632.4242600000002,5.529738999999999
2071-10-16,324.6526,114.728294,82.873604,-0.21657266,28.202662,25.618164,30.78716,0.5564502164502083,27.21767316017315,2071,10,31.0,8613.925510000001,5627.71934,2679.9772199999998,5.168996
2071-11-16,320.62643,104.678276,82.88306,-0.033526916,28.026304,25.536385,30.516226,0.1491438191438078,29.92069264069264,2071,11,30.0,8693.757609999999,5623.43547,2729.06215,4.979841
2071-12-16,389.25745,124.43307,84.238205,0.31177074,27.899796,25.586954,30.212637,0.3940476190476157,30.80071428571428,2071,12,30.99305555555556,8713.88566,5667.944960000001,2815.17556,4.625683000000002
2072-01-16,340.59863,138.37431,83.7669,0.83130246,27.350273,25.125017,29.575525,1.4704761904761805,24.98234126984126,2072,1,30.99861111111111,8789.51066,5711.27412,2941.01407,4.450507999999999
2072-02-16,261.42014,150.39682,83.208206,1.2459632,27.825644,25.468414,30.18287,1.034533429533426,25.590714285714284,2072,2,29.0,8870.578950000001,5757.96256,3063.35952,4.714456000000002
2072-03-16,265.79953,153.1671,82.33758,1.4347273,28.141577,25.589502,30.693647,2.4731661856661806,24.95619047619047,2072,3,31.0,8937.241199999999,5846.19973,3158.1354100000003,5.104144999999999
2072-04-16,219.76497,127.66162,81.60319,1.5673437,28.642588,25.97384,31.311333,1.420717893217882,26.630091390091376,2072,4,30.0,9004.73548,5858.49517,3231.3256600000004,5.337493000000002
2072-05-16,189.59535,90.91724,81.20904,1.4707317,28.77725,26.054276,31.500227,1.5900709475709374,25.952616642616643,2072,5,31.0,8930.05393,5803.50373,3208.42882,5.445950999999997
2072-06-16,224.12312,124.17273,81.791534,1.6982144,28.60061,25.941828,31.259401,2.4962469937469907,23.867591390091377,2072,6,30.0,8956.870589999999,5876.01087,3282.13002,5.317572999999999
